region_code,reference_year,avg_summer_temperature,heatwave_intensity,heatwave_history_index,source,is_sample
21060550,2024,30.0,30.0,24.0,시연용 합성 데이터,True
21060560,2024,30.4,30.4,29.0,시연용 합성 데이터,True
21060570,2024,29.1,29.1,23.0,시연용 합성 데이터,True
21060580,2024,27.2,27.2,38.0,시연용 합성 데이터,True
21060590,2024,29.2,29.2,34.0,시연용 합성 데이터,True
21060600,2024,26.6,26.6,14.0,시연용 합성 데이터,True
21060610,2024,31.4,31.4,6.0,시연용 합성 데이터,True
21060620,2024,27.7,27.7,14.0,시연용 합성 데이터,True
21060630,2024,26.6,26.6,15.0,시연용 합성 데이터,True
21060640,2024,27.9,27.9,21.0,시연용 합성 데이터,True
21060650,2024,27.4,27.4,24.0,시연용 합성 데이터,True
21070530,2024,27.8,27.8,38.0,시연용 합성 데이터,True
21070540,2024,30.2,30.2,33.0,시연용 합성 데이터,True
21070550,2024,30.4,30.4,22.0,시연용 합성 데이터,True
21070560,2024,30.4,30.4,30.0,시연용 합성 데이터,True
21070570,2024,30.4,30.4,39.0,시연용 합성 데이터,True
21070580,2024,28.7,28.7,33.0,시연용 합성 데이터,True
21070590,2024,30.8,30.8,14.0,시연용 합성 데이터,True
21070600,2024,27.5,27.5,22.0,시연용 합성 데이터,True
21070610,2024,29.1,29.1,29.0,시연용 합성 데이터,True
21070620,2024,30.3,30.3,14.0,시연용 합성 데이터,True
21070630,2024,30.3,30.3,34.0,시연용 합성 데이터,True
21070660,2024,28.0,28.0,10.0,시연용 합성 데이터,True
21070670,2024,28.9,28.9,7.0,시연용 합성 데이터,True
21070680,2024,26.5,26.5,36.0,시연용 합성 데이터,True
21070690,2024,27.2,27.2,6.0,시연용 합성 데이터,True
21070700,2024,31.3,31.3,34.0,시연용 합성 데이터,True
21070710,2024,30.6,30.6,6.0,시연용 합성 데이터,True
21080510,2024,26.6,26.6,31.0,시연용 합성 데이터,True
21080520,2024,30.6,30.6,34.0,시연용 합성 데이터,True
21080530,2024,27.4,27.4,16.0,시연용 합성 데이터,True
21080540,2024,31.2,31.2,14.0,시연용 합성 데이터,True
21080550,2024,30.4,30.4,17.0,시연용 합성 데이터,True
21080560,2024,28.3,28.3,17.0,시연용 합성 데이터,True
21080570,2024,30.9,30.9,27.0,시연용 합성 데이터,True
21080580,2024,31.5,31.5,33.0,시연용 합성 데이터,True
21080590,2024,31.1,31.1,24.0,시연용 합성 데이터,True
21080600,2024,29.4,29.4,8.0,시연용 합성 데이터,True
21080610,2024,27.1,27.1,34.0,시연용 합성 데이터,True
21080620,2024,28.0,28.0,24.0,시연용 합성 데이터,True
21080630,2024,29.6,29.6,35.0,시연용 합성 데이터,True
21090530,2024,28.8,28.8,33.0,시연용 합성 데이터,True
21090540,2024,29.0,29.0,18.0,시연용 합성 데이터,True
21090560,2024,29.2,29.2,34.0,시연용 합성 데이터,True
21090580,2024,28.1,28.1,13.0,시연용 합성 데이터,True
21090590,2024,28.1,28.1,13.0,시연용 합성 데이터,True
21090620,2024,27.0,27.0,36.0,시연용 합성 데이터,True
21090640,2024,30.4,30.4,31.0,시연용 합성 데이터,True
21090650,2024,28.5,28.5,31.0,시연용 합성 데이터,True
21090660,2024,30.6,30.6,39.0,시연용 합성 데이터,True
21090670,2024,27.5,27.5,19.0,시연용 합성 데이터,True
21090680,2024,28.5,28.5,11.0,시연용 합성 데이터,True
21090690,2024,30.3,30.3,24.0,시연용 합성 데이터,True
21090700,2024,28.7,28.7,22.0,시연용 합성 데이터,True
21090710,2024,30.9,30.9,26.0,시연용 합성 데이터,True
21090720,2024,29.0,29.0,38.0,시연용 합성 데이터,True
21090730,2024,29.0,29.0,28.0,시연용 합성 데이터,True
21090740,2024,29.7,29.7,9.0,시연용 합성 데이터,True
21090750,2024,29.6,29.6,30.0,시연용 합성 데이터,True
21100510,2024,29.5,29.5,39.0,시연용 합성 데이터,True
21100520,2024,28.3,28.3,8.0,시연용 합성 데이터,True
21100530,2024,31.1,31.1,20.0,시연용 합성 데이터,True
21100540,2024,27.6,27.6,14.0,시연용 합성 데이터,True
21100550,2024,29.6,29.6,30.0,시연용 합성 데이터,True
21100560,2024,27.2,27.2,8.0,시연용 합성 데이터,True
21100570,2024,30.8,30.8,39.0,시연용 합성 데이터,True
21100580,2024,31.4,31.4,40.0,시연용 합성 데이터,True
21100590,2024,31.3,31.3,5.0,시연용 합성 데이터,True
21100600,2024,26.5,26.5,19.0,시연용 합성 데이터,True
21100610,2024,30.2,30.2,20.0,시연용 합성 데이터,True
21100620,2024,28.5,28.5,23.0,시연용 합성 데이터,True
21100630,2024,31.4,31.4,38.0,시연용 합성 데이터,True
21100640,2024,31.1,31.1,11.0,시연용 합성 데이터,True
21100650,2024,28.1,28.1,13.0,시연용 합성 데이터,True
21100660,2024,29.4,29.4,29.0,시연용 합성 데이터,True
21110510,2024,29.2,29.2,27.0,시연용 합성 데이터,True
21110520,2024,30.5,30.5,38.0,시연용 합성 데이터,True
21110570,2024,27.2,27.2,8.0,시연용 합성 데이터,True
21110580,2024,28.2,28.2,34.0,시연용 합성 데이터,True
21110590,2024,29.0,29.0,24.0,시연용 합성 데이터,True
21110600,2024,27.8,27.8,13.0,시연용 합성 데이터,True
21110610,2024,29.8,29.8,6.0,시연용 합성 데이터,True
21110640,2024,30.7,30.7,23.0,시연용 합성 데이터,True
21110670,2024,30.6,30.6,20.0,시연용 합성 데이터,True
21110680,2024,29.4,29.4,30.0,시연용 합성 데이터,True
21110690,2024,30.2,30.2,20.0,시연용 합성 데이터,True
21110700,2024,27.2,27.2,34.0,시연용 합성 데이터,True
21110710,2024,28.8,28.8,29.0,시연용 합성 데이터,True
21110720,2024,29.9,29.9,26.0,시연용 합성 데이터,True
21110730,2024,31.2,31.2,15.0,시연용 합성 데이터,True
21110740,2024,30.4,30.4,26.0,시연용 합성 데이터,True
21120510,2024,26.7,26.7,13.0,시연용 합성 데이터,True
21120520,2024,30.9,30.9,38.0,시연용 합성 데이터,True
21120530,2024,30.9,30.9,26.0,시연용 합성 데이터,True
21120550,2024,27.4,27.4,21.0,시연용 합성 데이터,True
21120561,2024,30.4,30.4,31.0,시연용 합성 데이터,True
21120562,2024,31.2,31.2,22.0,시연용 합성 데이터,True
21120580,2024,27.4,27.4,25.0,시연용 합성 데이터,True
21120590,2024,28.8,28.8,34.0,시연용 합성 데이터,True
21120600,2024,29.2,29.2,13.0,시연용 합성 데이터,True
21130510,2024,29.3,29.3,30.0,시연용 합성 데이터,True
21130520,2024,28.1,28.1,36.0,시연용 합성 데이터,True
21130530,2024,30.8,30.8,11.0,시연용 합성 데이터,True
21130540,2024,29.0,29.0,9.0,시연용 합성 데이터,True
21130550,2024,30.6,30.6,36.0,시연용 합성 데이터,True
21130560,2024,29.4,29.4,18.0,시연용 합성 데이터,True
21130570,2024,28.2,28.2,33.0,시연용 합성 데이터,True
21130580,2024,29.1,29.1,10.0,시연용 합성 데이터,True
21130590,2024,30.3,30.3,11.0,시연용 합성 데이터,True
21130600,2024,27.7,27.7,27.0,시연용 합성 데이터,True
21130620,2024,29.2,29.2,34.0,시연용 합성 데이터,True
21130630,2024,29.9,29.9,16.0,시연용 합성 데이터,True
21140510,2024,27.6,27.6,11.0,시연용 합성 데이터,True
21140520,2024,29.2,29.2,40.0,시연용 합성 데이터,True
21140530,2024,27.3,27.3,7.0,시연용 합성 데이터,True
21140540,2024,29.5,29.5,34.0,시연용 합성 데이터,True
21140550,2024,27.5,27.5,16.0,시연용 합성 데이터,True
21140560,2024,29.9,29.9,29.0,시연용 합성 데이터,True
21140570,2024,28.2,28.2,29.0,시연용 합성 데이터,True
21140580,2024,27.0,27.0,26.0,시연용 합성 데이터,True
21140590,2024,31.1,31.1,33.0,시연용 합성 데이터,True
21140600,2024,29.8,29.8,33.0,시연용 합성 데이터,True
21150510,2024,28.1,28.1,21.0,시연용 합성 데이터,True
21150520,2024,28.4,28.4,11.0,시연용 합성 데이터,True
21150540,2024,28.8,28.8,37.0,시연용 합성 데이터,True
21150550,2024,27.8,27.8,36.0,시연용 합성 데이터,True
21150560,2024,28.2,28.2,6.0,시연용 합성 데이터,True
21150570,2024,29.1,29.1,29.0,시연용 합성 데이터,True
21150600,2024,29.2,29.2,27.0,시연용 합성 데이터,True
21150610,2024,30.1,30.1,23.0,시연용 합성 데이터,True
21150620,2024,29.2,29.2,27.0,시연용 합성 데이터,True
21150630,2024,27.0,27.0,31.0,시연용 합성 데이터,True
21150640,2024,29.0,29.0,23.0,시연용 합성 데이터,True
21150650,2024,30.6,30.6,13.0,시연용 합성 데이터,True
21510110,2024,29.7,29.7,7.0,시연용 합성 데이터,True
21510111,2024,30.0,30.0,16.0,시연용 합성 데이터,True
21510120,2024,26.5,26.5,29.0,시연용 합성 데이터,True
21510130,2024,28.6,28.6,9.0,시연용 합성 데이터,True
21510330,2024,28.8,28.8,10.0,시연용 합성 데이터,True
21010,2024,29.166666666666668,29.166666666666668,20.666666666666668,시연용 합성 데이터,True
21020,2024,29.376923076923074,29.376923076923074,21.76923076923077,시연용 합성 데이터,True
21030,2024,29.016666666666666,29.016666666666666,18.583333333333332,시연용 합성 데이터,True
21040,2024,29.44545454545454,29.44545454545454,23.818181818181817,시연용 합성 데이터,True
21050,2024,29.175,29.175,23.45,시연용 합성 데이터,True
21060,2024,28.53846153846154,28.53846153846154,22.46153846153846,시연용 합성 데이터,True
21070,2024,29.31764705882353,29.31764705882353,23.941176470588236,시연용 합성 데이터,True
21080,2024,29.392307692307693,29.392307692307693,24.153846153846153,시연용 합성 데이터,True
21090,2024,29.049999999999997,29.049999999999997,25.27777777777778,시연용 합성 데이터,True
21100,2024,29.5,29.5,22.25,시연용 합성 데이터,True
21110,2024,29.38125,29.38125,23.3125,시연용 합성 데이터,True
21120,2024,29.21111111111111,29.21111111111111,24.77777777777778,시연용 합성 데이터,True
21130,2024,29.3,29.3,22.583333333333332,시연용 합성 데이터,True
21140,2024,28.71,28.71,25.8,시연용 합성 데이터,True
21150,2024,28.791666666666668,28.791666666666668,23.666666666666668,시연용 합성 데이터,True
21510,2024,28.72,28.72,14.2,시연용 합성 데이터,True
21,2024,29.13082218894259,29.13082218894259,22.544501826808812,시연용 합성 데이터,True
