region_code,reference_year,total_population,population_density,elderly_population,elderly_ratio,source,is_sample
21060580,2024,35873.0,7574.38,9943.0,27.717224653639228,시연용 합성 데이터,True
21060590,2024,31189.0,11287.52,8650.0,27.734137035493283,시연용 합성 데이터,True
21060600,2024,15966.0,10086.61,2137.0,13.38469247150194,시연용 합성 데이터,True
21060610,2024,24114.0,5905.0,5283.0,21.9084349340632,시연용 합성 데이터,True
21060620,2024,28793.0,15029.65,3645.0,12.659326919737438,시연용 합성 데이터,True
21060630,2024,25759.0,7713.78,8835.0,34.298691719399045,시연용 합성 데이터,True
21060640,2024,27185.0,21398.19,10283.0,37.826006989148425,시연용 합성 데이터,True
21060650,2024,13828.0,12200.04,4731.0,34.21319062771189,시연용 합성 데이터,True
21070530,2024,23031.0,3806.52,2624.0,11.39333941209674,시연용 합성 데이터,True
21070540,2024,8916.0,5582.03,3196.0,35.845670704351726,시연용 합성 데이터,True
21070550,2024,19515.0,6238.24,3801.0,19.477325134511915,시연용 합성 데이터,True
21070560,2024,29460.0,10836.84,5821.0,19.758995247793617,시연용 합성 데이터,True
21070570,2024,10005.0,6058.07,4167.0,41.64917541229386,시연용 합성 데이터,True
21070580,2024,19748.0,9283.77,3537.0,17.91067449868341,시연용 합성 데이터,True
21070590,2024,37629.0,21460.55,7623.0,20.258311408753887,시연용 합성 데이터,True
21070600,2024,8723.0,6230.7,3274.0,37.532958844434255,시연용 합성 데이터,True
21070610,2024,12024.0,14342.55,4466.0,37.14238190286095,시연용 합성 데이터,True
21070620,2024,16166.0,7964.68,6312.0,39.04490906841519,시연용 합성 데이터,True
21070630,2024,21387.0,16203.82,2645.0,12.367325945667929,시연용 합성 데이터,True
21070660,2024,24138.0,5273.11,6463.0,26.775209213687962,시연용 합성 데이터,True
21070670,2024,10096.0,9851.71,3236.0,32.05229793977813,시연용 합성 데이터,True
21070680,2024,19699.0,6305.29,6594.0,33.47378039494391,시연용 합성 데이터,True
21070690,2024,25109.0,17402.52,5613.0,22.354534230753913,시연용 합성 데이터,True
21070700,2024,26439.0,3435.2,7359.0,27.833881765573587,시연용 합성 데이터,True
21070710,2024,30429.0,3253.21,11151.0,36.64596273291926,시연용 합성 데이터,True
21080510,2024,16689.0,21196.25,2516.0,15.075798430103662,시연용 합성 데이터,True
21080520,2024,33870.0,20457.14,6970.0,20.578683200472394,시연용 합성 데이터,True
21080530,2024,16309.0,5288.77,6739.0,41.32074314795512,시연용 합성 데이터,True
21080540,2024,31848.0,11745.53,7570.0,23.76915347902537,시연용 합성 데이터,True
21080550,2024,36864.0,19423.34,10657.0,28.90896267361111,시연용 합성 데이터,True
21080560,2024,23402.0,18622.81,6269.0,26.788308691564822,시연용 합성 데이터,True
21080570,2024,30048.0,2689.51,9417.0,31.33985623003195,시연용 합성 데이터,True
21080580,2024,25335.0,19035.22,2951.0,11.64791790013815,시연용 합성 데이터,True
21080590,2024,23743.0,12454.59,4504.0,18.969801625742324,시연용 합성 데이터,True
21080600,2024,36413.0,5013.62,13265.0,36.42929722901162,시연용 합성 데이터,True
21080610,2024,23259.0,14712.07,5174.0,22.245152414119264,시연용 합성 데이터,True
21080620,2024,34927.0,7169.34,6417.0,18.37260572050276,시연용 합성 데이터,True
21080630,2024,10513.0,17663.59,1714.0,16.30362408446685,시연용 합성 데이터,True
21090530,2024,9590.0,10707.22,1777.0,18.529718456725757,시연용 합성 데이터,True
21090540,2024,23669.0,9498.8,3353.0,14.16620896531328,시연용 합성 데이터,True
21090560,2024,25803.0,16520.5,5723.0,22.17959152036585,시연용 합성 데이터,True
21090580,2024,33033.0,4418.4,12836.0,38.858111585384314,시연용 합성 데이터,True
21090590,2024,25923.0,11738.76,2961.0,11.422289086911237,시연용 합성 데이터,True
21090620,2024,22318.0,3602.25,3106.0,13.917017653911639,시연용 합성 데이터,True
21090640,2024,16188.0,16644.07,2774.0,17.136150234741784,시연용 합성 데이터,True
21090650,2024,20512.0,3918.71,2321.0,11.315327613104524,시연용 합성 데이터,True
21090660,2024,22547.0,20783.91,5044.0,22.37104714596177,시연용 합성 데이터,True
21090670,2024,26545.0,21284.39,9061.0,34.13448860425692,시연용 합성 데이터,True
21090680,2024,33645.0,10179.6,7599.0,22.58582255907267,시연용 합성 데이터,True
21090690,2024,10089.0,20726.26,3621.0,35.89057389235801,시연용 합성 데이터,True
21090700,2024,36567.0,14197.5,11796.0,32.258593814094674,시연용 합성 데이터,True
21090710,2024,18559.0,3869.25,2659.0,14.327280564685596,시연용 합성 데이터,True
21090720,2024,22030.0,11168.31,9139.0,41.48433953699501,시연용 합성 데이터,True
21090730,2024,18684.0,4569.21,5150.0,27.56369085848855,시연용 합성 데이터,True
21090740,2024,30836.0,15303.4,10796.0,35.01102607342067,시연용 합성 데이터,True
21090750,2024,26587.0,22304.73,4337.0,16.312483544589462,시연용 합성 데이터,True
21100510,2024,16004.0,3500.03,5639.0,35.234941264683826,시연용 합성 데이터,True
21100520,2024,29127.0,11579.55,5881.0,20.19088817935249,시연용 합성 데이터,True
21100530,2024,22400.0,2247.24,4140.0,18.482142857142858,시연용 합성 데이터,True
21100540,2024,28676.0,5529.79,3415.0,11.908913377040035,시연용 합성 데이터,True
21100550,2024,16294.0,1678.2,2748.0,16.865103719160427,시연용 합성 데이터,True
21100560,2024,5218.0,10983.79,581.0,11.134534304331162,시연용 합성 데이터,True
21100570,2024,13961.0,11250.44,5339.0,38.24224625743142,시연용 합성 데이터,True
21100580,2024,35453.0,22595.15,12032.0,33.93788960031591,시연용 합성 데이터,True
21100590,2024,37574.0,3277.99,6202.0,16.506094639910575,시연용 합성 데이터,True
21100600,2024,25061.0,19650.7,6606.0,26.35968237500499,시연용 합성 데이터,True
21100610,2024,34934.0,11247.29,11555.0,33.076658842388504,시연용 합성 데이터,True
21100620,2024,27721.0,2369.42,8523.0,30.745644096533315,시연용 합성 데이터,True
21100630,2024,4257.0,5457.64,1608.0,37.77307963354475,시연용 합성 데이터,True
21100640,2024,12300.0,18428.96,1864.0,15.154471544715447,시연용 합성 데이터,True
21100650,2024,24519.0,8959.63,4394.0,17.92079611729679,시연용 합성 데이터,True
21100660,2024,16184.0,15809.98,5153.0,31.840088976767177,시연용 합성 데이터,True
21110510,2024,7740.0,1610.72,1797.0,23.217054263565892,시연용 합성 데이터,True
21110520,2024,23870.0,17920.16,6896.0,28.889819857561793,시연용 합성 데이터,True
21110570,2024,20594.0,9958.36,7388.0,35.87452656113431,시연용 합성 데이터,True
21110580,2024,36412.0,6585.34,7129.0,19.578710315280677,시연용 합성 데이터,True
21110590,2024,24595.0,13142.81,6889.0,28.00975808091075,시연용 합성 데이터,True
21110600,2024,8777.0,15246.63,1580.0,18.00159507804489,시연용 합성 데이터,True
21110610,2024,15031.0,4880.06,2671.0,17.769942119619454,시연용 합성 데이터,True
21110640,2024,34012.0,13424.89,10002.0,29.407268023050687,시연용 합성 데이터,True
21110670,2024,8418.0,12049.48,2286.0,27.156094084105487,시연용 합성 데이터,True
21110680,2024,15638.0,19594.78,4879.0,31.19964189794091,시연용 합성 데이터,True
21110690,2024,28879.0,4315.82,7117.0,24.64420513175664,시연용 합성 데이터,True
21110700,2024,34037.0,6656.56,12137.0,35.65825425272497,시연용 합성 데이터,True
21110710,2024,29738.0,13940.36,11179.0,37.591633600107606,시연용 합성 데이터,True
21110720,2024,36120.0,1850.75,6878.0,19.04208194905869,시연용 합성 데이터,True
21110730,2024,19069.0,5597.13,7749.0,40.636635376789556,시연용 합성 데이터,True
21110740,2024,22976.0,18383.74,7575.0,32.9691852367688,시연용 합성 데이터,True
21120510,2024,17475.0,16919.41,2678.0,15.324749642346209,시연용 합성 데이터,True
21120520,2024,30718.0,20870.59,12773.0,41.58148316947718,시연용 합성 데이터,True
21120530,2024,3626.0,13911.67,1197.0,33.011583011583014,시연용 합성 데이터,True
21120550,2024,28566.0,17415.54,2863.0,10.022404256808795,시연용 합성 데이터,True
21120561,2024,28277.0,11250.6,8357.0,29.554054531951763,시연용 합성 데이터,True
21120562,2024,36066.0,19173.1,15493.0,42.95735595852049,시연용 합성 데이터,True
21120580,2024,14893.0,7350.78,4735.0,31.79346001477204,시연용 합성 데이터,True
21120590,2024,12018.0,4158.5,3175.0,26.4187052754202,시연용 합성 데이터,True
21120600,2024,28941.0,12256.24,9983.0,34.49431602225217,시연용 합성 데이터,True
21130510,2024,27704.0,1803.04,10902.0,39.3517181634421,시연용 합성 데이터,True
21130520,2024,4450.0,12564.14,1771.0,39.79775280898876,시연용 합성 데이터,True
21130530,2024,20522.0,3803.09,2159.0,10.520417113341779,시연용 합성 데이터,True
21130540,2024,27039.0,17349.67,4577.0,16.92740116128555,시연용 합성 데이터,True
21130550,2024,22622.0,19362.08,8176.0,36.14180885863319,시연용 합성 데이터,True
21130560,2024,35537.0,20868.86,11067.0,31.142189830317697,시연용 합성 데이터,True
21130570,2024,31158.0,19562.96,10930.0,35.07927338083317,시연용 합성 데이터,True
21130580,2024,5466.0,1292.57,1830.0,33.479692645444565,시연용 합성 데이터,True
21130590,2024,18469.0,2441.94,5181.0,28.05241215008934,시연용 합성 데이터,True
21130600,2024,8498.0,5063.64,870.0,10.237702988938574,시연용 합성 데이터,True
21130620,2024,30431.0,16772.0,7820.0,25.69747954388617,시연용 합성 데이터,True
21130630,2024,29438.0,14743.99,6177.0,20.983083089883824,시연용 합성 데이터,True
21140510,2024,20934.0,1755.9,7692.0,36.74405273717397,시연용 합성 데이터,True
21140520,2024,6196.0,1113.1,2654.0,42.834086507424146,시연용 합성 데이터,True
21140530,2024,33504.0,5085.07,14185.0,42.3382282712512,시연용 합성 데이터,True
21140540,2024,26414.0,3253.84,6573.0,24.884530930567124,시연용 합성 데이터,True
21140550,2024,9566.0,14826.77,3210.0,33.55634538992264,시연용 합성 데이터,True
21140560,2024,3690.0,12595.52,943.0,25.555555555555554,시연용 합성 데이터,True
21140570,2024,26483.0,12439.27,6207.0,23.43767700033984,시연용 합성 데이터,True
21140580,2024,16086.0,9657.44,2100.0,13.054830287206268,시연용 합성 데이터,True
21140590,2024,33738.0,22046.71,13949.0,41.34507084000237,시연용 합성 데이터,True
21140600,2024,15330.0,13127.79,2610.0,17.025440313111545,시연용 합성 데이터,True
21150510,2024,29895.0,7016.7,3571.0,11.945141327981268,시연용 합성 데이터,True
21150520,2024,31344.0,19329.98,4980.0,15.888208269525267,시연용 합성 데이터,True
21150540,2024,10433.0,16090.25,2736.0,26.224480015335956,시연용 합성 데이터,True
21150550,2024,32609.0,22243.34,10978.0,33.665552454843755,시연용 합성 데이터,True
21150560,2024,28866.0,16683.92,3031.0,10.500242499826786,시연용 합성 데이터,True
21150570,2024,7410.0,20507.55,1886.0,25.452091767881242,시연용 합성 데이터,True
21150600,2024,22915.0,21178.1,3967.0,17.311804494872355,시연용 합성 데이터,True
21150610,2024,32036.0,15640.6,13204.0,41.21613185166687,시연용 합성 데이터,True
21150620,2024,29104.0,1653.05,3844.0,13.207806487080815,시연용 합성 데이터,True
21150630,2024,27300.0,1246.53,5934.0,21.736263736263737,시연용 합성 데이터,True
21150640,2024,15684.0,13428.69,5674.0,36.17699566437133,시연용 합성 데이터,True
21150650,2024,36932.0,12868.77,6510.0,17.62699014404852,시연용 합성 데이터,True
21510110,2024,34813.0,5305.93,11776.0,33.826444144428805,시연용 합성 데이터,True
21510111,2024,14337.0,12970.2,4388.0,30.606124014786918,시연용 합성 데이터,True
21510120,2024,16881.0,18711.94,4655.0,27.575380605414374,시연용 합성 데이터,True
21510130,2024,19456.0,6468.35,5252.0,26.994243421052634,시연용 합성 데이터,True
21510330,2024,15740.0,15888.9,1577.0,10.019059720457433,시연용 합성 데이터,True
21010,2024,169271.0,9503.627961640519,48433.0,28.612697981343526,시연용 합성 데이터,True
21020,2024,257955.0,9063.184198021527,72748.0,28.201818146575953,시연용 합성 데이터,True
21030,2024,218564.0,7382.418498783606,68369.0,31.28099778554565,시연용 합성 데이터,True
21040,2024,241015.0,5708.172345184107,76570.0,31.769806858494288,시연용 합성 데이터,True
21050,2024,371208.0,5644.434697278831,105538.0,28.43096053964354,시연용 합성 데이터,True
21060,2024,290968.0,8732.597354749687,86745.0,29.81255670726678,시연용 합성 데이터,True
21070,2024,342514.0,6607.915031590563,87882.0,25.657929310918675,시연용 합성 데이터,True
21080,2024,343220.0,8556.31890871201,84163.0,24.52158965095274,시연용 합성 데이터,True
21090,2024,423125.0,8496.300912063392,104053.0,24.59155096011817,시연용 합성 데이터,True
21100,2024,349683.0,5143.4027688512815,85680.0,24.50219198531241,시연용 합성 데이터,True
21110,2024,365906.0,5959.090470709273,104152.0,28.46414106355184,시연용 합성 데이터,True
21120,2024,200580.0,12475.914376586952,61254.0,30.538438528268024,시연용 합성 데이터,True
21130,2024,261334.0,5883.360245588426,71460.0,27.344317999188778,시연용 합성 데이터,True
21140,2024,191941.0,4843.832226379307,60123.0,31.323688008294216,시연용 합성 데이터,True
21150,2024,304528.0,5364.889777464259,66315.0,21.776322702674303,시연용 합성 데이터,True
21510,2024,101227.0,8054.865887496759,27648.0,27.31287107194721,시연용 합성 데이터,True
21,2024,4433039.0,6739.421374030993,1211133.0,27.320603315242657,시연용 합성 데이터,True
